DI	UT
10.1016/j.neuroscience.2012.02.045	WOS:000304730000033
10.1016/j.neuroscience.2012.03.015	WOS:000304730000012
10.1016/j.nima.2008.11.151	WOS:000264466400013
10.1016/j.nima.2009.01.090	WOS:000267405700041
10.1016/j.nima.2012.01.055	WOS:000302511200014
10.1016/j.nima.2012.03.015	WOS:000304894600021
10.1016/j.nima.2012.05.064	WOS:000307091100010
10.1016/j.nima.2012.06.027	WOS:000307797500001
10.1016/j.nimb.2008.12.017	WOS:000264984600001
10.1016/j.nimb.2011.07.053	WOS:000300471000032
10.1016/j.nucengdes.2011.09.053	WOS:000309496600052
10.1016/j.nucengdes.2011.10.064	WOS:000309496600014
10.1016/j.nucengdes.2012.01.005	WOS:000302429000024
10.1016/j.nuclphysa.2003.09.006	WOS:000187220900007
10.1016/j.nuclphysa.2009.02.004	WOS:000265274400009
10.1016/j.nuclphysa.2009.04.008	WOS:000267188500004
10.1016/j.nucmedbio.2012.04.003	WOS:000309033800028
10.1016/j.orggeochem.2003.11.002	WOS:000220523800004
10.1016/j.parco.2007.07.001	WOS:000250366000001
10.1016/j.parkreldis.2010.04.014	WOS:000280983700008
10.1016/j.physa.2011.08.016	WOS:000297779500018
10.1016/j.physb.2003.09.088	WOS:000188300200055
10.1016/j.physb.2004.03.058	WOS:000207887900058
10.1016/j.physb.2004.03.061	WOS:000207887900061
10.1016/j.physb.2004.03.106	WOS:000207887900099
10.1016/j.physb.2004.03.120	WOS:000207887900114
10.1016/j.physb.2004.03.173	WOS:000207887900161
10.1016/j.physb.2004.03.200	WOS:000207887900233
10.1016/j.physb.2004.03.203	WOS:000207887900193
10.1016/j.physb.2004.03.212	WOS:000207887900202
10.1016/j.physb.2004.03.214	WOS:000207887900204
10.1016/j.physb.2004.03.220	WOS:000207887900210
10.1016/j.physb.2004.03.223	WOS:000207887900213
10.1016/j.physb.2004.03.232	WOS:000207887900222
10.1016/j.physb.2004.03.238	WOS:000207887900228
10.1016/j.physb.2004.03.239	WOS:000207887900229
10.1016/j.physb.2004.03.240	WOS:000207887900230
10.1016/j.physb.2004.03.242	WOS:000207887900225
10.1016/j.physb.2004.03.244	WOS:000207887900234
10.1016/j.physb.2004.03.297	WOS:000207887900270
10.1016/j.physb.2004.03.303	WOS:000207887900276
10.1016/j.physb.2006.05.281	WOS:000243341200038
10.1016/j.physb.2006.05.377	WOS:000243341200078
10.1016/j.physc.2011.12.018	WOS:000308580600015
10.1016/j.physletb.2009.05.052	WOS:000267816100016
10.1016/j.physletb.2009.05.068	WOS:000267816100011
10.1016/j.physletb.2009.12.056	WOS:000274627300003
10.1016/j.physletb.2011.10.070	WOS:000298129000018
10.1016/j.plantsci.2011.12.018	WOS:000304214800012
10.1016/j.pnucene.2011.10.001	WOS:000302490200026
10.1016/j.pnucene.2011.12.016	WOS:000302490200017
10.1016/j.poly.2010.03.013	WOS:000278611800015
10.1016/j.ppnp.2012.01.008	WOS:000303282200058
10.1016/j.proeng.2010.09.345	WOS:000287162400313
10.1016/j.schres.2011.12.018	WOS:000301198800012
10.1016/j.schres.2012.03.007	WOS:000304470200012
10.1016/j.schres.2012.08.027	WOS:000309511300024
10.1016/j.scitotenv.2010.02.040	WOS:000277109600001
10.1016/j.soilbio.2006.01.031	WOS:000240183900038
10.1016/j.soilbio.2012.02.007	WOS:000303423400006
10.1016/j.solmat.2011.09.051	WOS:000298534000025
10.1016/j.solmat.2011.11.024	WOS:000300536500055
10.1016/j.solmat.2011.11.039	WOS:000300536500052
10.1016/j.sse.2009.05.009	WOS:000270161500012
10.1016/j.sse.2011.10.014	WOS:000303033800005
10.1016/j.ssi.2008.11.005	WOS:000264381700023
10.1016/j.ssi.2011.06.012	WOS:000303636900010
10.1016/j.surfcoat.2006.05.040	WOS:000244831800225
10.1016/j.surfcoat.2010.08.092	WOS:000284294200001
10.1016/j.surfcoat.2010.09.041	WOS:000286343100088
10.1016/j.surfcoat.2011.11.003	WOS:000300458500062
10.1016/j.susc.2011.08.017	WOS:000297880900008
10.1016/j.tet.2010.10.036	WOS:000285727500028
10.1016/j.theochem.2010.02.031	WOS:000278161300004
10.1016/j.tics.2012.06.005	WOS:000307696400009
10.1016/j.tsf.2008.11.038	WOS:000263847300073
10.1016/j.tsf.2008.11.121	WOS:000265178700008
10.1016/j.tsf.2011.04.197	WOS:000299231800022
10.1016/j.tsf.2011.11.029	WOS:000301085100037
10.1016/j.tsf.2012.02.068	WOS:000303084200047
10.1016/j.tsf.2012.03.036	WOS:000304568300046
10.1016/j.ultramic.2009.05.010	WOS:000270015200004
10.1016/j.ultramic.2011.10.006	WOS:000300461600003
10.1016/j.vacuum.2009.04.039	WOS:000268387800004
10.1016/j.ydbio.2004.03.014	WOS:000221894100001
10.1016/j.zemedi.2006.08.001	WOS:000254654500003
10.1016/S0003-2670(00)01252-6	WOS:000166694500013
10.1016/S0003-2670(00)01364-7	WOS:000167748600014
10.1016/S0003-2670(00)01384-2	WOS:000168058900011
10.1016/S0003-2670(02)00061-2	WOS:000175752500015
10.1016/S0003-2670(02)00102-2	WOS:000176102700001
10.1016/S0003-2670(02)00666-9	WOS:000178255500006
10.1016/S0005-2728(00)00127-4	WOS:000089291100004
10.1016/S0005-2736(01)00444-8	WOS:000174171900003
10.1016/S0006-8993(00)03224-8	WOS:000167022400007
10.1016/S0009-2614(00)01383-X	WOS:000166515200001
10.1016/S0009-2614(01)01106-X	WOS:000172089900015
10.1016/S0009-2614(02)00032-5	WOS:000174012800008
10.1016/S0009-2614(02)00044-1	WOS:000174162500017
10.1016/S0009-2614(02)00344-5	WOS:000175408600024
10.1016/S0010-4655(01)00329-0	WOS:000173099200038
10.1016/S0010-4655(02)00194-7	WOS:000177824600001
10.1016/S0010-4655(02)00296-5	WOS:000177824600069
10.1016/S0010-4655(02)00308-9	WOS:000177824600081
10.1016/S0010-9452(08)70128-X	WOS:000221503600011
10.1016/S0010-9452(08)70392-7	WOS:000239222100016
10.1016/S0010-9452(08)70401-5	WOS:000239222100025
10.1016/S0010-9452(08)70440-4	WOS:000241974900023
10.1016/S0010-9452(08)70631-2	WOS:000173345200022
10.1016/S0010-9452(08)70654-3	WOS:000176038800012
10.1016/S0011-9164(02)00755-5	WOS:000178455200069
10.1016/S0013-4686(00)00753-2	WOS:000167924000023
10.1016/S0013-4686(01)00563-1	WOS:000171506400031
10.1016/S0013-4686(01)00564-3	WOS:000171506400032
10.1016/S0013-4686(01)00568-0	WOS:000171506400036
10.1016/S0013-4686(01)00573-4	WOS:000171506400037
10.1016/S0013-4686(01)00690-9	WOS:000172355600006
10.1016/S0013-4686(01)00727-7	WOS:000172358600010
10.1016/S0013-4686(03)000402-X	WOS:000185123400054
10.1016/S0014-5793(01)02769-7	WOS:000171084200013
10.1016/S0014-5793(01)03094-0	WOS:000172416300016
10.1016/S0016-7061(02)00127-1	WOS:000176436200010
10.1016/S0022-0248(00)00633-3	WOS:000165092300011
10.1016/S0022-0248(00)00969-6	WOS:000167306600003
10.1016/S0022-0248(00)00970-2	WOS:000167306600004
10.1016/S0022-0248(01)01396-3	WOS:000169535100029
10.1016/S0022-0248(01)01734-1	WOS:000173057500051
10.1016/S0022-0248(02)00910-7	WOS:000175558100012
10.1016/S0022-0728(00)00380-6	WOS:000168192000046
10.1016/S0022-0728(00)00484-8	WOS:000168192000050
10.1016/S0022-0728(01)00757-4	WOS:000177325000024
10.1016/S0022-0728(02)01420-1	WOS:000182686700011
10.1016/S0022-0728(02)01472-9	WOS:000184724600013
10.1016/S0022-0728(03)00178-5	WOS:000185658500022
10.1016/S0022-1694(01)00579-0	WOS:000173950200010
10.1016/S0022-1694(02)00052-5	WOS:000176261700014
10.1016/S0022-1694(02)00145-2	WOS:000178504900001
10.1016/S0022-1694(02)00154-3	WOS:000178504900010
10.1016/S0022-1694(02)00346-3	WOS:000179875600010
10.1016/S0022-2836(02)00215-2	WOS:000175767800012
10.1016/S0022-2836(02)00258-9	WOS:000176042700013
10.1016/S0022-2836(02)00307-8	WOS:000176229100025
10.1016/S0022-2836(02)00696-4	WOS:000177872400006
10.1016/S0022-2836(02)00745-3	WOS:000178230500015
10.1016/S0022-2836(02)00886-0	WOS:000178664400012
10.1016/S0022-2836(03)00581-3	WOS:000183824900020
10.1016/S0022-3093(01)00309-X	WOS:000167643600021
10.1016/S0022-3093(01)00631-7	WOS:000170259600054
10.1016/S0022-3093(01)00974-7	WOS:000175757400137
10.1016/S0022-3093(01)00981-4	WOS:000175757600012
10.1016/S0022-3093(01)00988-7	WOS:000175757600033
10.1016/S0022-3093(01)00989-9	WOS:000175757600034
10.1016/S0022-3093(01)01004-3	WOS:000175757400051
10.1016/S0022-3093(01)01107-3	WOS:000175757600005
10.1016/S0022-3093(01)01137-1	WOS:000175757600087
10.1016/S0022-3093(01)01138-3	WOS:000175757600091
10.1016/S0022-3093(01)01143-7	WOS:000175757600099
10.1016/S0022-3093(01)01194-2	WOS:000175757400032
10.1016/S0022-3093(01)01195-4	WOS:000175757400033
10.1016/S0022-3115(00)00119-7	WOS:000165877800081
10.1016/S0022-3115(00)00172-0	WOS:000165877800092
10.1016/S0022-3115(00)00291-9	WOS:000165877800086
10.1016/S0022-3115(00)00292-0	WOS:000165877800088
10.1016/S0022-3115(00)00332-9	WOS:000165877600012
10.1016/S0022-3115(00)00439-6	WOS:000167676700083
10.1016/S0022-3115(00)00458-X	WOS:000167676700183
10.1016/S0022-3115(00)00469-4	WOS:000167676700181
10.1016/S0022-3115(00)00486-4	WOS:000167676700076
10.1016/S0022-3115(00)00521-3	WOS:000167676700133
10.1016/S0022-3115(00)00533-X	WOS:000167676700155
10.1016/S0022-3115(00)00536-5	WOS:000167676700161
10.1016/S0022-3115(00)00543-2	WOS:000167676700195
10.1016/S0022-3115(00)00553-5	WOS:000167676700229
10.1016/S0022-3115(00)00555-9	WOS:000167676700237
10.1016/S0022-3115(00)00573-0	WOS:000167676700073
10.1016/S0022-3115(00)00577-8	WOS:000167676700058
10.1016/S0022-3115(00)00581-X	WOS:000167676700087
10.1016/S0022-3115(00)00602-4	WOS:000167676700122
10.1016/S0022-3115(00)00603-6	WOS:000167676700145
10.1016/S0022-3115(00)00605-X	WOS:000167676700045
10.1016/S0022-3115(00)00606-1	WOS:000167676700048
10.1016/S0022-3115(00)00614-0	WOS:000167676700018
10.1016/S0022-3115(00)00629-2	WOS:000167676700055
10.1016/S0022-3115(00)00632-2	WOS:000167676700061
10.1016/S0022-3115(00)00635-8	WOS:000167676700069
10.1016/S0022-3115(00)00649-8	WOS:000167676700170
10.1016/S0022-3115(00)00652-8	WOS:000167676700174
10.1016/S0022-3115(00)00656-5	WOS:000167676700190
10.1016/S0022-3115(00)00657-7	WOS:000167676700191
10.1016/S0022-3115(00)00664-4	WOS:000167676700212
10.1016/S0022-3115(01)00516-5	WOS:000170092200015
10.1016/S0022-3115(01)00545-1	WOS:000170092200018
10.1016/S0022-3115(01)00563-3	WOS:000170092200011
10.1016/S0022-3115(01)00565-7	WOS:000170092200019
10.1016/S0022-3115(01)00596-7	WOS:000170024500009
10.1016/S0022-3115(01)00654-7	WOS:000171381600005
10.1016/S0022-3115(01)00722-X	WOS:000174122500004
10.1016/S0022-3115(01)00735-8	WOS:000173903300011
10.1016/S0022-3115(02)00874-7	WOS:000176853000001
10.1016/S0022-3115(02)00940-6	WOS:000180647200017
10.1016/S0022-3115(02)00941-8	WOS:000180647200018
10.1016/S0022-3115(02)00991-1	WOS:000180647300108
10.1016/S0022-3115(02)01030-9	WOS:000180647200007
10.1016/S0022-3115(02)01090-5	WOS:000180647200011
10.1016/S0022-3115(02)01118-2	WOS:000180647300085
10.1016/S0022-3115(02)01120-0	WOS:000180647300011
10.1016/S0022-3115(02)01133-9	WOS:000180647300163
10.1016/S0022-3115(02)01175-3	WOS:000180647200006
10.1016/S0022-3115(02)01344-2	WOS:000182146700064
10.1016/S0022-3115(02)01357-0	WOS:000182146700068
10.1016/S0022-3115(02)01527-1	WOS:000182146700227
10.1016/S0022-3115(02)01537-4	WOS:000182146700192
10.1016/S0022-3115(02)01569-6	WOS:000182146700219
10.1016/S0028-3932(00)00078-6	WOS:000165725100008
10.1016/S0028-3932(00)00129-9	WOS:000166925400008
10.1016/S0028-3932(01)00102-6	WOS:000173056200009
10.1016/S0029-5493(00)00415-5	WOS:000168467300005
10.1016/S0029-5493(00)00438-6	WOS:000168467300011
10.1016/S0032-3861(00)00651-0	WOS:000166636400023
10.1016/S0039-6028(00)00679-8	WOS:000165322600010
10.1016/S0039-6028(00)00812-8	WOS:000165889000016
10.1016/S0039-6028(00)00813-X	WOS:000165889000017
10.1016/S0039-6028(00)00888-8	WOS:000166709700010
10.1016/S0039-6028(01)00699-9	WOS:000168580300007
10.1016/S0039-6028(01)00977-3	WOS:000168926100019
10.1016/S0039-6028(01)01055-X	WOS:000169533800005
10.1016/S0039-6028(01)01106-2	WOS:000170230200008
10.1016/S0039-6028(01)01342-5	WOS:000170849400007
10.1016/S0039-6028(01)01564-3	WOS:000175303400012
10.1016/S0039-6028(01)01614-4	WOS:000173285900009
10.1016/S0039-6028(01)01893-3	WOS:000175383700005
10.1016/S0039-6028(01)01897-0	WOS:000175383700009
10.1016/S0039-6028(01)01987-2	WOS:000175383700062
10.1016/S0039-6028(01)01994-X	WOS:000175383700069
10.1016/S0039-6028(02)01547-9	WOS:000176584000007
10.1016/S0039-6028(02)01554-6	WOS:000176584000014
10.1016/S0039-6028(02)01684-9	WOS:000176646200003
10.1016/S0039-6028(02)01968-4	WOS:000177851700030
10.1016/S0039-6028(02)02090-3	WOS:000178643200009
10.1016/S0039-6028(02)02273-2	WOS:000179515000008
10.1016/S0040-6090(00)01321-3	WOS:000166024600042
10.1016/S0040-6090(00)01504-2	WOS:000166393700053
10.1016/S0040-6090(00)01744-2	WOS:000166828900007
10.1016/S0040-6090(00)01762-4	WOS:000167268700032
10.1016/S0040-6090(01)00887-2	WOS:000169378200032
10.1016/S0040-6090(01)01052-5	WOS:000169954900033
10.1016/S0040-6090(01)01280-9	WOS:000171625000064
10.1016/S0040-6090(01)01487-0	WOS:000172950800005
10.1016/S0040-6090(02)01182-3	WOS:000182500500003
10.1016/S0040-6090(03)00111-1	WOS:000183239800046
10.1016/S0040-6090(03)00582-0	WOS:000183945700004
10.1016/S0042-207X(01)00279-2	WOS:000168796500043
10.1016/S0042-207X(02)00238-5	WOS:000178803500017
10.1016/S0042-6989(00)00299-6	WOS:000167799600008
10.1016/S0042-6989(01)00046-3	WOS:000168565200017
10.1016/S0043-1648(03)00233-3	WOS:000183839400005
10.1016/S0045-6535(02)00191-1	WOS:000178062800008
10.1016/S0045-6535(02)00284-9	WOS:000178119600014
10.1016/S0079-6816(00)00021-6	WOS:000170764500001
10.1016/S0141-0229(02)00027-3	WOS:000175382800015
10.1016/S0141-0229(02)00165-5	WOS:000178747000013
10.1016/S0142-9612(02)00056-X	WOS:000176268800007
10.1016/S0142-9612(02)00200-4	WOS:000178116900014
10.1016/S0146-6380(00)00089-9	WOS:000165957000026
10.1016/S0146-6380(00)00105-4	WOS:000165957000007
10.1016/S0146-6380(03)00099-8	WOS:000185048000007
10.1016/S0146-6410(01)00113-2	WOS:000168892600012
10.1016/S0146-6410(01)00145-4	WOS:000168892600044
10.1016/S0146-6410(01)00146-6	WOS:000168892600045
10.1016/S0146-6410(03)00050-4	WOS:000183163100034
10.1016/S0165-0270(02)00381-3	WOS:000181874800008
10.1016/S0165-9936(00)00065-0	WOS:000166810800011
10.1016/S0165-9936(02)00606-4	WOS:000176958600012
10.1016/S0166-2236(00)01924-X	WOS:000171452600007
10.1016/S0166-4328(01)00373-4	WOS:000174777200017
10.1016/S0166-4328(01)00412-0	WOS:000181369400002
10.1016/S0166-4328(02)00204-8	WOS:000179524800023
10.1016/S0166-4328(03)00107-4	WOS:000186073300015
10.1016/S0166-445X(02)00106-6	WOS:000181265200004
10.1016/S0167-2738(00)00392-1	WOS:000165856800060
10.1016/S0167-2738(00)00394-5	WOS:000165856800100
10.1016/S0167-2738(00)00435-5	WOS:000165856800076
10.1016/S0167-2738(00)00477-X	WOS:000165856800055
10.1016/S0167-2738(00)00770-0	WOS:000166532300007
10.1016/S0167-2738(00)00822-5	WOS:000167038800011
10.1016/S0167-2738(01)00926-2	WOS:000172095500041
10.1016/S0167-2738(01)00974-2	WOS:000172318700021
10.1016/S0167-2738(01)01037-2	WOS:000174861900004
10.1016/S0167-2738(02)00010-3	WOS:000174861900001
10.1016/S0167-2738(02)00275-8	WOS:000177687600002
10.1016/S0167-2738(02)00344-2	WOS:000179999600051
10.1016/S0167-5729(01)00012-7	WOS:000171678700001
10.1016/S0167-7012(02)00014-3	WOS:000175321900011
10.1016/S0167-7322(01)00323-3	WOS:000174433600003
10.1016/S0167-7799(00)01544-4	WOS:000168716500021
10.1016/S0167-8760(02)00072-7	WOS:000178472000007
10.1016/S0167-9317(00)00441-X	WOS:000167815800021
10.1016/S0167-9317(00)00445-7	WOS:000167815800025
10.1016/S0167-9317(00)00451-2	WOS:000167815800031
10.1016/S0167-9317(01)00593-7	WOS:000173194900021
10.1016/S0167-9317(01)00594-9	WOS:000173194900022
10.1016/S0167-9317(01)00596-2	WOS:000173194900024
10.1016/S0167-9317(01)00600-1	WOS:000173194900028
10.1016/S0167-9317(02)00601-9	WOS:000177363800046
10.1016/S0167-9317(02)00781-5	WOS:000178508800020
10.1016/S0167-9317(02)00790-6	WOS:000178508800025
10.1016/S0167-9317(02)00819-5	WOS:000178508800053
10.1016/S0167-9317(03)00371-X	WOS:000186423900009
10.1016/S0168-1656(03)00144-5	WOS:000185306500011
10.1016/S0168-1656(03)00147-0	WOS:000185306500021
10.1016/S0168-583X(01)01171-5	WOS:000176108800007
10.1016/S0168-583X(03)00536-6	WOS:000183211200003
10.1016/S0168-6445(01)00062-6	WOS:000170864700004
10.1016/S0168-8278(04)90186-9	WOS:000220950800187
10.1016/S0168-9002(01)00903-2	WOS:000175212600024
10.1016/S0168-9002(02)00669-1	WOS:000177273200005
10.1016/S0168-9002(02)00689-7	WOS:000177273200025
10.1016/S0168-9002(02)00690-3	WOS:000177273200026
10.1016/S0168-9002(02)01561-9	WOS:000179585800001
10.1016/S0168-9002(02)01946-0	WOS:000182055500010
10.1016/S0168-9002(03)01652-8	WOS:000184660500010
10.1016/S0168-9002(03)01653-X	WOS:000184660500011
10.1016/S0169-4332(00)00830-8	WOS:000167479800002
10.1016/S0169-4332(00)00857-6	WOS:000167191900007
10.1016/S0169-4332(01)00274-4	WOS:000170362800022
10.1016/S0169-4332(01)00418-4	WOS:000172176200021
10.1016/S0169-4332(01)00443-3	WOS:000172176200015
10.1016/S0169-4332(01)00773-5	WOS:000175089200006
10.1016/S0169-4332(01)00899-6	WOS:000176520700058
10.1016/S0169-4332(02)00113-7	WOS:000177499200028
10.1016/S0169-4332(02)00802-4	WOS:000180807900006
10.1016/S0169-7722(00)00176-5	WOS:000166970600002
10.1016/S0169-7722(01)00143-7	WOS:000173429700008
10.1016/S0169-7722(01)00200-5	WOS:000176075700007
10.1016/S0197-0186(01)00102-4	WOS:000174457400007
10.1016/S0257-8972(01)01162-8	WOS:000169277300010
10.1016/S0257-8972(01)01177-X	WOS:000171104600121
10.1016/S0257-8972(02)00292-X	WOS:000178482100096
10.1016/S0300-9084(03)00050-6	WOS:000183340200003
10.1016/S0301-0104(02)00312-9	WOS:000174332400003
10.1016/S0304-3800(03)00246-1	WOS:000187461000028
10.1016/S0304-3940(01)01607-X	WOS:000167505200012
10.1016/S0304-3940(02)00125-8	WOS:000175527800018
10.1016/S0304-3940(02)00963-1	WOS:000179043400006
10.1016/S0304-3940(03)00494-4	WOS:000183856200009
10.1016/S0304-3991(01)00090-0	WOS:000172667000002
10.1016/S0304-3991(01)00094-8	WOS:000172667000001
10.1016/S0304-3991(02)00153-5	WOS:000178841000004
10.1016/S0304-8853(00)00359-0	WOS:000166116600020
10.1016/S0304-8853(00)00900-8	WOS:000170708600374
10.1016/S0304-8853(00)00973-2	WOS:000170708600172
10.1016/S0304-8853(00)01392-5	WOS:000168970100014
10.1016/S0304-8853(01)00728-4	WOS:000175813900029
10.1016/S0304-8853(01)00730-2	WOS:000175813900031
10.1016/S0304-8853(01)00738-7	WOS:000175813900018
10.1016/S0304-8853(01)00743-0	WOS:000175813900045
10.1016/S0304-8853(01)00748-X	WOS:000175813900050
10.1016/S0304-8853(01)00912-X	WOS:000175813900151
10.1016/S0304-8853(02)00343-8	WOS:000178844100006
10.1016/S0306-4522(01)00501-2	WOS:000174120800005
10.1016/S0306-4522(02)00110-0	WOS:000176770200005
10.1016/S0360-5442(01)00032-9	WOS:000170438900004
10.1016/S0368-2048(00)00246-2	WOS:000167832700052
10.1016/S0368-2048(02)00144-5	WOS:000179709500007
10.1016/S0370-1573(01)00101-6	WOS:000176069000001
10.1016/S0370-1573(03)00273-4	WOS:000185805200001
10.1016/S0370-2693(00)01382-4	WOS:000166949100002
10.1016/S0370-2693(01)00084-3	WOS:000167197700006
10.1016/S0370-2693(01)00450-6	WOS:000168882000001
10.1016/S0370-2693(01)00544-5	WOS:000169426200001
10.1016/S0370-2693(01)00727-4	WOS:000170096400006
10.1016/S0370-2693(01)00878-4	WOS:000170762900006
10.1016/S0370-2693(01)01016-4	WOS:000171479800008
10.1016/S0370-2693(01)01398-3	WOS:000173269200010
10.1016/S0370-2693(02)01192-9	WOS:000174591200010
10.1016/S0370-2693(02)02176-7	WOS:000177203300006
10.1016/S0370-2693(02)02584-4	WOS:000178757800014
10.1016/S0370-2693(02)02850-2	WOS:000179397400004
10.1016/S0375-9474(00)00368-7	WOS:000166334200024
10.1016/S0375-9474(00)00378-X	WOS:000166334200026
10.1016/S0375-9474(00)00444-9	WOS:000167202600015
10.1016/S0375-9474(00)00520-0	WOS:000167628800016
10.1016/S0375-9474(01)00969-1	WOS:000171207100009
10.1016/S0375-9474(01)00977-0	WOS:000171207100010
10.1016/S0375-9474(01)01318-5	WOS:000173845600014
10.1016/S0375-9474(01)01330-6	WOS:000174388800017
10.1016/S0375-9474(01)01338-0	WOS:000175730000015
10.1016/S0375-9474(03)01146-1	WOS:000183938800133
10.1016/S0376-7388(00)00508-1	WOS:000166455000009
10.1016/S0376-7388(02)00409-X	WOS:000179242100016
10.1016/S0378-4371(01)00028-0	WOS:000168730500018
10.1016/S0378-4371(03)00058-X	WOS:000183470900004
10.1016/S0378-7753(01)00945-4	WOS:000174805800021
10.1016/S0378-7753(01)00953-3	WOS:000174805800027
10.1016/S0378-7753(01)01018-7	WOS:000175342800033
10.1016/S0378-7753(01)01039-4	WOS:000175342800034
10.1016/S0378-7753(01)01042-4	WOS:000175342800046
10.1016/S0378-7753(01)01064-3	WOS:000175342800043
10.1016/S0378-7753(02)00339-7	WOS:000178393300008
10.1016/S0550-3213(00)00667-2	WOS:000166912800015
10.1016/S0580-9517(04)34011-0	WOS:000228448100011
10.1016/S0584-8547(02)00068-X	WOS:000178492500003
10.1016/S0584-8547(03)00156-3	WOS:000186471700002
10.1016/S0891-0618(00)00076-4	WOS:000165316500005
10.1016/S0891-0618(00)00081-8	WOS:000165832400003
10.1016/S0891-0618(01)00126-0	WOS:000171003900004
10.1016/S0893-6080(00)00054-X	WOS:000166070200009
10.1016/S0896-6273(01)00362-2	WOS:000170277700015
10.1016/S0896-6273(02)00741-9	WOS:000176601800019
10.1016/S0896-6273(02)01098-X	WOS:000179667800012
10.1016/S0920-3796(00)00105-8	WOS:000166587200014
10.1016/S0920-3796(00)00387-2	WOS:000165996300043
10.1016/S0920-3796(00)00396-3	WOS:000165996300052
10.1016/S0920-3796(00)00480-4	WOS:000166634600012
10.1016/S0920-3796(01)00255-1	WOS:000172978400019
10.1016/S0920-3796(01)00315-5	WOS:000172978400039
10.1016/S0920-3796(01)00345-3	WOS:000172978400058
10.1016/S0920-3796(01)00462-8	WOS:000172978400167
10.1016/S0920-3796(02)00113-8	WOS:000180091500017
10.1016/S0920-9964(06)70216-X	WOS:000241325600215
10.1016/S0920-9964(06)70327-9	WOS:000241325600326
10.1016/S0921-4526(00)00830-9	WOS:000168147000060
10.1016/S0921-4526(00)00840-1	WOS:000168147000003
10.1016/S0921-4526(00)00858-9	WOS:000168147000032
10.1016/S0921-4526(00)00865-6	WOS:000168147000033
10.1016/S0921-4526(01)00633-0	WOS:000172736000024
10.1016/S0921-4526(02)01577-6	WOS:000180881600011
10.1016/S0921-4526(02)01850-1	WOS:000182329500012
10.1016/S0921-4526(03)00189-3	WOS:000183848400013
10.1016/S0921-4526(03)00191-1	WOS:000183848400015
10.1016/S0921-4526(03)00195-9	WOS:000183848400019
10.1016/S0921-4526(03)00213-8	WOS:000183848400020
10.1016/S0921-4526(03)00214-X	WOS:000183848400021
10.1016/S0921-4526(03)00215-1	WOS:000183848400022
10.1016/S0921-4526(03)00226-6	WOS:000183848400033
10.1016/S0921-4526(03)00234-5	WOS:000183848400041
10.1016/S0921-4526(03)00255-2	WOS:000183848400062
10.1016/S0921-4526(03)00257-6	WOS:000183848400063
10.1016/S0921-4534(00)00765-6	WOS:000165855700112
10.1016/S0921-4534(00)01565-3	WOS:000167638000004
10.1016/S0921-4534(00)01615-4	WOS:000167003500019
10.1016/S0921-4534(00)01711-1	WOS:000168684600030
10.1016/S0921-4534(01)01232-1	WOS:000174200000021
10.1016/S0921-4534(02)00788-8	WOS:000177936400131
10.1016/S0921-5093(00)01108-4	WOS:000166175900175
10.1016/S0921-5093(00)01346-0	WOS:000167080100003
10.1016/S0921-5093(02)00028-X	WOS:000179005400034
10.1016/S0921-5093(03)00300-9	WOS:000184845800034
10.1016/S0921-5107(00)00668-1	WOS:000168392800026
10.1016/S0921-5107(01)00789-9	WOS:000174015300010
10.1016/S0921-5107(01)00836-4	WOS:000174015300036
10.1016/S0921-5107(01)00844-3	WOS:000174015300087
10.1016/S0921-5107(01)01004-2	WOS:000174864400100
10.1016/S0923-2508(01)01281-5	WOS:000174281800004
10.1016/S0924-4247(01)00850-0	WOS:000176297000093
10.1016/S0924-977X(02)00108-6	WOS:000179919200011
10.1016/S0925-2312(02)00468-X	WOS:000176839200110
10.1016/S0925-3467(01)00033-7	WOS:000169788700028
10.1016/S0925-3467(01)00057-X	WOS:000169788700075
10.1016/S0925-4005(03)00061-3	WOS:000183039200005
10.1016/S0925-4005(03)00063-7	WOS:000183039200007
10.1016/S0925-4005(03)00070-4	WOS:000183039200014
10.1016/S0925-4005(03)00071-6	WOS:000183039200015
10.1016/S0925-4005(03)00426-X	WOS:000185567800043
10.1016/S0925-4005(03)00427-1	WOS:000185567800044
10.1016/S0925-4005(03)00444-1	WOS:000185567800057
10.1016/S0925-8388(01)01295-6	WOS:000171063000037
10.1016/S0925-8388(01)01304-4	WOS:000171063000047
10.1016/S0925-8388(01)01355-X	WOS:000171818000001
10.1016/S0925-8388(01)01800-X	WOS:000173810700029
10.1016/S0925-8388(01)01956-9	WOS:000175358700031
10.1016/S0925-8388(02)00118-4	WOS:000177932400006
10.1016/S0925-8388(02)00119-6	WOS:000177932400007
10.1016/S0925-8388(02)00163-9	WOS:000177932400034
10.1016/S0925-8388(02)00165-2	WOS:000177932400036
10.1016/S0925-8388(02)00248-7	WOS:000177932400072
10.1016/S0925-8388(03)00439-0	WOS:000186125800012
10.1016/S0925-8574(00)00175-0	WOS:000171266900002
10.1016/S0925-9635(01)00603-3	WOS:000176046300161
10.1016/S0927-0248(00)00193-8	WOS:000166234200042
10.1016/S0927-0248(00)00200-2	WOS:000166234200049
10.1016/S0927-0248(02)00096-X	WOS:000178125900044
10.1016/S0927-0248(02)00109-5	WOS:000178125900057
10.1016/S0927-0256(01)00155-0	WOS:000171255400001
10.1016/S0927-0256(02)00340-3	WOS:000179332800012
